Player,Nation,Pos,Squad,Age,Born,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",Matches,Season,90s,Cmp,Att,Cmp%,Tot,Prg,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,TklW,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,Fld,Def,GCA,GCA90,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Avg,Opp,Stp,Stp%,#OPA,#OPA/90
Wilder Cartagena,pe PER,"MF,DF",Orlando City,29,1994,27,25,2192,24.4,0.0,0.04,0.04,0.0,0.0,0.0,0.29,0.0,0.05,0.05,0.06,0.11,0.61,5.78,0.78,0.04,0.11,0.11,Matches,2024,24.4,48.2,55.9,86.1,847.0,331.0,0.04,0.07,-0.02,0.7,6.84,0.74,0.08,0.0,0.94,0.29,30.4,0.94,0.29,0.0,0.0,21.4,0.0,0.0,0.0,0.06,-0.05,-0.05,65.4,3.77,18.6,37.1,10.1,0.78,65.4,0.53,50.0,0.49,46.2,36.6,0.08,0.82,0.61,46.1,3.11,1.97,56.9,1.15,1.23,0.86,0.82,3.93,1.72,0.04,1.48,1.48,0.08,0.0,0.16,0.08,0.08,0.0,1.97,1.11,0.0,0.53,0.82,1.97,0.0,0.0,0.0,5.12,0.9,37.9,,,,,,,,,,,,,,,,,
Javier Casas,us USA,MF,Chicago Fire,20,2003,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,0.0,4.0,4.0,100.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,0.0,,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
Julio Cascante,cr CRC,DF,Austin,30,1993,25,21,1867,20.7,0.1,0.0,0.1,0.1,0.0,0.0,0.53,0.0,0.08,0.08,0.01,0.09,0.24,3.09,0.29,0.1,0.09,0.09,Matches,2024,20.7,47.1,53.9,87.4,938.3,386.1,0.0,0.01,-0.01,0.24,3.53,0.19,0.0,0.1,0.48,0.24,50.0,0.48,0.24,0.2,0.4,7.8,0.0,0.0,0.0,0.17,0.01,0.01,62.9,8.31,33.3,27.3,2.71,1.55,62.9,0.39,88.9,0.05,11.1,37.7,0.0,0.24,0.24,43.9,1.4,1.06,46.7,0.77,1.21,0.29,1.11,2.51,4.06,0.0,0.68,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.68,0.0,0.0,1.11,1.06,0.0,0.0,0.0,3.67,2.51,61.9,,,,,,,,,,,,,,,,,
Robert Castellanos,us USA,DF,Sporting KC,25,1998,14,10,1034,11.5,0.09,0.0,0.09,0.09,0.0,0.0,0.17,0.0,0.08,0.08,0.01,0.09,0.09,1.74,0.0,0.09,0.09,0.09,Matches,2024,11.5,49.6,57.7,85.8,1031.8,349.6,0.0,0.01,-0.01,0.17,1.65,0.0,0.0,0.09,0.61,0.26,42.9,0.61,0.26,0.14,0.33,8.2,0.0,0.0,0.0,0.13,0.01,0.01,66.8,7.74,38.1,27.3,1.48,1.13,66.8,0.17,100.0,0.0,0.0,40.7,0.0,0.26,0.0,45.2,0.52,0.35,33.3,0.35,1.04,0.09,1.04,1.57,4.78,0.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.35,0.09,0.09,1.04,0.35,0.0,0.0,0.0,3.13,4.17,70.6,,,,,,,,,,,,,,,,,
Edwin Cerrillo,us USA,MF,LA Galaxy,23,2000,33,24,2082,23.1,0.04,0.0,0.04,0.04,0.0,0.0,0.3,0.0,0.0,0.0,0.01,0.02,0.3,3.51,0.74,0.04,0.02,0.02,Matches,2024,23.1,65.8,69.8,94.2,1035.5,277.5,0.0,0.03,-0.01,0.26,4.68,0.13,0.0,0.04,0.13,0.04,33.3,0.13,0.04,0.33,1.0,27.0,0.0,0.0,0.0,0.04,0.04,0.04,76.9,3.42,20.6,49.1,7.92,0.04,76.9,0.52,50.0,0.48,45.8,48.6,0.0,0.69,0.74,61.1,1.47,0.91,46.9,0.74,1.17,0.78,0.61,2.08,1.43,0.04,0.78,0.78,0.0,0.0,0.09,0.04,0.04,0.0,1.82,0.95,0.0,0.0,0.61,0.91,0.0,0.0,0.0,5.32,0.3,33.3,,,,,,,,,,,,,,,,,
Dylan Chambost,fr FRA,"MF,FW",Columbus Crew,26,1997,10,6,552,6.1,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.26,0.34,1.31,7.21,2.79,0.65,0.34,0.34,Matches,2024,6.1,66.9,79.7,84.0,1191.5,347.5,0.66,0.15,0.39,2.62,6.56,0.82,0.0,0.0,1.15,0.49,42.9,1.14,0.49,0.0,0.0,25.8,0.16,0.0,0.0,0.07,-0.08,-0.08,87.9,0.98,15.7,46.6,26.2,0.98,87.9,0.49,50.0,0.49,50.0,47.5,0.16,0.98,0.33,68.7,1.48,0.82,50.0,0.33,1.64,1.48,0.82,2.3,0.82,0.0,4.75,4.73,0.0,0.0,0.16,0.98,0.98,0.0,0.82,0.49,0.16,4.92,0.82,0.82,0.0,0.0,0.0,5.41,0.66,33.3,,,,,,,,,,,,,,,,,
Tomás Chancalay,ar ARG,FW,NE Revolution,25,1999,12,11,929,10.3,0.19,0.1,0.29,0.19,0.0,0.0,0.39,0.0,0.31,0.31,0.18,0.49,2.04,3.4,7.57,0.29,0.49,0.49,Matches,2024,10.3,24.5,33.8,72.4,468.2,99.6,0.1,0.19,-0.09,1.26,2.14,0.87,0.39,0.19,4.37,1.46,33.3,4.36,1.45,0.04,0.13,19.6,0.0,0.0,0.0,0.07,-0.12,-0.12,45.8,0.78,5.34,19.3,21.7,4.47,45.8,1.94,66.7,0.97,33.3,27.8,0.68,2.14,1.94,32.9,0.97,0.39,20.0,1.55,0.97,0.97,0.1,1.07,0.19,0.1,2.72,2.71,0.49,0.0,0.0,0.1,0.1,0.0,1.55,0.39,0.49,3.4,0.1,0.39,0.0,0.0,0.0,3.59,0.78,36.4,,,,,,,,,,,,,,,,,
Maikel Chang,cu CUB,"FW,MF",Real Salt Lake,32,1991,22,3,368,4.1,0.0,0.73,0.73,0.0,0.0,0.0,0.49,0.0,0.05,0.05,0.2,0.24,2.2,7.32,14.1,0.73,0.24,0.24,Matches,2024,4.1,38.8,56.6,68.5,699.3,202.0,0.73,0.15,0.54,2.44,2.93,3.17,0.49,0.0,0.98,0.0,0.0,0.98,0.0,0.0,,14.7,0.0,0.0,0.0,0.05,-0.05,-0.05,68.8,1.95,10.5,25.9,33.4,3.17,68.8,0.73,37.5,0.73,37.5,37.8,0.73,1.71,0.98,45.9,2.2,1.71,41.7,1.71,2.44,2.44,0.73,2.93,1.71,0.0,5.12,5.12,0.24,0.49,0.0,0.73,0.73,0.0,0.73,1.46,0.24,8.05,0.73,1.71,0.0,0.0,0.0,4.63,0.73,25.0,,,,,,,,,,,,,,,,,
Maxime Chanot,lu LUX,DF,LAFC,34,1989,23,15,1333,14.8,0.0,0.14,0.14,0.0,0.0,0.0,0.34,0.0,0.09,0.09,0.01,0.11,0.2,1.82,0.14,0.14,0.1,0.1,Matches,2024,14.8,53.5,58.3,91.8,1061.3,349.7,0.14,0.01,0.12,0.27,1.69,0.27,0.07,0.0,0.95,0.07,7.1,0.95,0.07,0.0,0.0,13.0,0.0,0.0,0.0,0.1,-0.09,-0.09,70.1,10.7,40.0,28.0,2.36,1.15,70.1,0.34,83.3,0.0,0.0,39.7,0.07,0.34,0.27,47.2,1.35,1.01,57.9,0.54,1.76,0.34,1.62,2.97,5.34,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.07,1.62,1.01,0.0,0.0,0.0,3.24,1.82,62.8,,,,,,,,,,,,,,,,,
Diego Chará,co COL,MF,Portland Timbers,37,1986,32,28,2424,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.04,0.0,0.0,0.03,0.03,0.41,5.13,0.82,0.0,0.03,0.03,Matches,2024,26.9,47.3,51.9,91.1,820.7,274.6,0.0,0.04,-0.03,0.48,5.84,0.41,0.15,0.0,0.04,0.0,0.0,0.04,0.0,0.0,,25.0,0.0,0.0,0.0,0.03,0.0,0.0,59.2,2.68,15.3,39.6,4.91,0.15,59.2,0.33,50.0,0.22,33.3,31.2,0.04,0.71,0.22,40.1,2.34,1.49,69.8,0.48,0.93,0.56,1.26,3.61,1.26,0.07,1.71,1.71,0.0,0.19,0.04,0.15,0.15,0.04,1.78,1.3,0.0,0.3,1.26,1.49,0.0,0.07,0.0,6.1,0.22,35.3,,,,,,,,,,,,,,,,,
Gabriel Chaves,br BRA,FW,LA Galaxy,22,2001,33,30,2727,30.3,0.53,0.4,0.92,0.5,0.03,0.07,0.03,0.0,0.48,0.42,0.35,0.77,6.44,3.8,12.3,0.89,0.83,0.77,Matches,2024,30.3,39.5,46.3,85.4,557.3,106.9,0.4,0.29,0.04,1.75,1.29,1.58,0.1,0.53,4.03,1.88,46.7,4.03,1.88,0.12,0.26,17.6,0.13,0.03,0.07,0.11,0.05,0.08,59.9,0.5,5.28,20.9,35.1,7.0,59.9,2.21,43.8,2.44,48.4,40.9,2.87,2.74,1.85,46.2,1.25,0.83,36.1,0.76,0.86,0.76,0.66,1.91,0.26,0.0,4.09,4.09,0.46,0.17,0.07,0.79,0.79,0.0,0.92,1.35,0.26,2.05,0.66,0.83,0.0,0.0,0.0,4.59,0.26,26.7,,,,,,,,,,,,,,,,,
Yevhen Cheberko,ua UKR,DF,Columbus Crew,26,1998,25,17,1689,18.8,0.05,0.0,0.05,0.05,0.0,0.0,0.21,0.0,0.02,0.02,0.02,0.04,0.96,4.26,0.48,0.05,0.04,0.04,Matches,2024,18.8,73.8,80.7,91.4,1259.0,542.2,0.0,0.03,-0.02,0.16,5.43,0.27,0.0,0.05,0.32,0.05,16.7,0.32,0.05,0.17,1.0,14.0,0.0,0.0,0.0,0.07,0.03,0.03,90.4,8.72,40.9,45.3,4.89,0.69,90.4,0.21,26.7,0.48,60.0,55.7,0.0,0.27,0.21,65.2,1.38,0.74,50.0,0.69,1.38,0.59,1.44,2.82,3.56,0.0,0.74,0.75,0.0,0.0,0.0,0.16,0.16,0.0,0.53,0.8,0.0,0.16,1.44,0.74,0.0,0.0,0.0,4.47,1.33,47.2,,,,,,,,,,,,,,,,,
Mathieu Choiniere,ca CAN,MF,CF Montréal,24,1999,17,17,1497,16.6,0.12,0.06,0.18,0.06,0.06,0.06,0.3,0.0,0.08,0.03,0.1,0.13,1.39,4.88,2.59,0.12,0.18,0.13,Matches,2024,16.6,50.4,60.1,84.0,747.5,228.7,0.06,0.13,-0.04,1.14,3.86,0.9,0.12,0.12,0.6,0.12,20.0,0.6,0.12,0.1,0.5,24.7,0.0,0.06,0.06,0.05,0.04,0.03,68.9,2.41,15.2,36.1,18.3,1.2,68.9,0.66,55.0,0.42,35.0,37.5,0.24,1.51,0.72,48.8,2.05,1.33,53.6,0.78,1.2,0.96,0.42,2.47,1.14,0.12,2.65,2.65,0.0,0.06,0.06,0.24,0.24,0.0,1.27,1.45,0.0,3.25,0.42,1.33,0.0,0.0,0.06,5.06,0.48,32.0,,,,,,,,,,,,,,,,,
Léo Chú,br BRA,"FW,MF",Seattle Sounders,23,2000,14,12,714,7.9,0.13,0.25,0.38,0.13,0.0,0.0,0.0,0.0,0.1,0.1,0.14,0.24,3.04,1.77,9.62,0.38,0.24,0.24,Matches,2024,7.9,18.2,25.2,72.4,239.5,60.4,0.25,0.14,0.11,1.27,0.89,1.27,0.38,0.13,1.14,0.51,44.4,1.13,0.5,0.11,0.25,16.8,0.0,0.0,0.0,0.09,0.03,0.03,39.0,0.25,4.68,10.9,23.9,4.43,39.0,1.39,35.5,2.41,61.3,23.7,2.03,2.91,1.27,27.0,2.41,1.27,33.3,0.51,1.27,1.27,0.51,2.91,0.25,0.0,2.66,2.64,0.13,0.13,0.0,0.25,0.25,0.0,1.27,0.51,0.0,2.15,0.51,1.27,0.0,0.0,0.0,4.56,0.38,50.0,,,,,,,,,,,,,,,,,
Caden Clark,us USA,"DF,FW",Minnesota Utd,20,2003,23,11,1032,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.06,0.06,0.1,0.16,2.52,3.48,7.48,0.0,0.16,0.16,Matches,2024,11.5,24.6,36.0,68.4,382.3,122.0,0.0,0.12,-0.1,0.87,1.74,0.87,0.09,0.0,1.39,0.09,6.3,1.4,0.09,0.0,0.0,20.4,0.0,0.0,0.0,0.04,-0.06,-0.06,50.6,1.83,10.3,22.4,18.2,3.22,50.6,0.96,42.3,1.3,57.7,26.3,0.61,2.43,0.61,30.5,2.7,1.74,52.0,1.04,2.09,1.57,1.3,4.0,1.22,0.09,1.83,1.83,0.26,0.0,0.0,0.17,0.17,0.0,1.48,0.61,0.17,1.65,1.3,1.74,0.0,0.0,0.0,3.91,0.87,47.6,,,,,,,,,,,,,,,,,
Caden Clark,us USA,MF,CF Montréal,20,2003,9,8,669,7.4,0.54,0.27,0.81,0.54,0.0,0.0,0.14,0.0,0.36,0.36,0.15,0.51,2.43,4.46,5.95,0.81,0.51,0.51,Matches,2024,7.4,25.3,30.5,82.7,354.5,106.8,0.27,0.16,0.12,1.62,2.16,1.62,0.14,0.54,1.89,1.08,57.1,1.88,1.08,0.29,0.5,16.7,0.0,0.0,0.0,0.2,0.18,0.18,42.2,0.41,6.76,18.9,17.2,2.97,42.2,1.08,57.1,0.54,28.6,28.6,0.68,2.7,1.35,30.8,2.03,1.49,77.8,0.27,1.08,0.95,0.0,2.03,0.68,0.0,4.32,4.3,0.27,0.14,0.0,0.68,0.67,0.0,1.35,2.3,0.0,0.81,0.0,1.49,0.0,0.0,0.0,4.05,0.27,22.2,,,,,,,,,,,,,,,,,
Noah Cobb,us USA,DF,Atlanta Utd,18,2005,19,16,1353,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.03,0.03,0.0,0.03,0.13,3.0,0.07,0.0,0.03,0.03,Matches,2024,15.0,42.0,50.5,83.1,863.3,323.9,0.0,0.01,0.0,0.13,2.4,0.0,0.0,0.0,0.13,0.07,50.0,0.13,0.07,0.0,0.0,7.1,0.0,0.0,0.0,0.22,-0.03,-0.03,59.3,6.27,34.1,24.5,0.73,0.13,59.3,0.0,,0.0,,34.1,0.0,0.4,0.13,40.0,1.33,0.93,68.2,0.47,1.6,0.53,0.6,1.93,4.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.2,0.0,0.07,0.6,0.93,0.0,0.0,0.0,3.33,1.93,46.8,,,,,,,,,,,,,,,,,
Matías Cóccaro,uy URU,"FW,MF",CF Montréal,26,1997,22,10,902,10.0,0.4,0.1,0.5,0.2,0.2,0.2,0.2,0.0,0.44,0.28,0.08,0.36,0.9,1.9,5.1,0.3,0.51,0.36,Matches,2024,10.0,15.3,22.3,68.6,206.3,32.7,0.1,0.06,0.02,0.7,0.7,0.4,0.0,0.4,2.6,1.1,42.3,2.59,1.1,0.08,0.18,16.4,0.0,0.2,0.2,0.11,-0.04,-0.08,35.3,1.4,3.4,16.1,16.1,5.0,35.1,0.7,33.3,1.1,52.4,19.9,0.5,2.1,1.2,24.8,0.9,0.7,66.7,0.2,1.9,1.6,0.3,1.2,1.0,0.0,3.2,3.17,0.3,0.5,0.2,0.5,0.5,0.0,1.9,2.5,0.5,0.8,0.3,0.7,0.2,0.0,0.0,2.7,2.3,46.9,,,,,,,,,,,,,,,,,
Alonso Coello,es ESP,MF,Toronto FC,24,1999,25,20,1530,17.0,0.06,0.12,0.18,0.06,0.0,0.0,0.24,0.0,0.02,0.02,0.09,0.12,0.65,8.18,0.71,0.18,0.12,0.12,Matches,2024,17.0,59.8,70.6,84.6,1114.7,374.9,0.12,0.09,0.02,1.06,7.41,1.18,0.06,0.06,0.47,0.24,50.0,0.47,0.24,0.13,0.25,17.0,0.0,0.0,0.0,0.05,0.04,0.04,79.9,2.35,20.5,49.5,10.5,0.59,79.9,0.82,63.6,0.35,27.3,43.6,0.0,1.0,0.82,58.9,2.59,1.41,59.5,1.0,1.53,1.29,1.59,4.18,0.65,0.06,2.94,2.94,0.12,0.06,0.06,0.47,0.47,0.0,0.59,0.41,0.0,0.29,1.59,1.41,0.0,0.0,0.0,6.82,0.71,57.1,,,,,,,,,,,,,,,,,
Enzo Copetti,ar ARG,FW,Charlotte,28,1996,9,6,495,5.5,0.18,0.18,0.36,0.18,0.0,0.0,0.18,0.0,0.31,0.31,0.09,0.4,1.45,0.91,3.27,0.36,0.39,0.39,Matches,2024,5.5,13.8,21.3,65.0,179.3,29.5,0.18,0.11,0.09,1.09,0.55,0.36,0.18,0.18,1.45,1.09,75.0,1.45,1.09,0.13,0.17,11.4,0.0,0.0,0.0,0.21,-0.13,-0.13,29.5,0.73,1.64,11.6,16.5,3.82,29.5,0.73,44.4,0.91,55.6,15.1,0.73,2.0,0.55,20.7,0.18,0.0,0.0,0.55,0.36,0.18,0.36,0.55,0.55,0.0,2.73,2.73,0.55,0.0,0.18,0.18,0.18,0.0,1.27,1.27,1.45,0.55,0.36,0.0,0.0,0.0,0.0,2.18,2.18,38.7,,,,,,,,,,,,,,,,,
Gabriele Corbo,it ITA,DF,CF Montréal,24,2000,28,18,1725,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.02,0.06,0.07,0.42,3.65,0.36,0.0,0.07,0.07,Matches,2024,19.2,55.4,64.8,85.5,1070.5,458.5,0.0,0.04,-0.06,0.42,4.11,0.16,0.05,0.0,0.42,0.0,0.0,0.42,0.0,0.0,,26.3,0.05,0.0,0.0,0.04,-0.02,-0.02,75.1,12.0,45.2,26.4,3.65,0.42,75.1,0.1,100.0,0.0,0.0,44.8,0.0,0.68,0.21,53.2,0.83,0.57,57.1,0.31,1.51,0.31,0.73,1.56,5.31,0.0,1.09,1.1,0.0,0.0,0.0,0.05,0.05,0.0,0.78,0.36,0.05,0.31,0.73,0.57,0.0,0.0,0.0,3.54,0.63,37.5,,,,,,,,,,,,,,,,,
Vitor Costa,br BRA,DF,SJ Earthquakes,29,1994,29,22,2101,23.3,0.09,0.13,0.21,0.09,0.0,0.0,0.34,0.0,0.08,0.08,0.07,0.15,1.46,2.32,3.65,0.21,0.15,0.15,Matches,2024,23.3,33.9,44.3,76.6,593.0,190.0,0.13,0.05,0.06,0.6,2.02,0.6,0.17,0.09,0.86,0.13,15.0,0.86,0.13,0.1,0.67,16.8,0.0,0.0,0.0,0.1,0.0,0.0,57.6,4.76,22.2,24.1,11.8,1.85,57.6,0.56,59.1,0.26,27.3,27.3,0.21,0.86,0.52,30.5,3.48,1.85,58.4,1.37,1.24,0.94,1.2,4.68,3.99,0.04,1.59,1.58,0.13,0.0,0.04,0.21,0.21,0.0,1.29,1.5,0.17,1.46,1.2,1.85,0.0,0.0,0.0,4.16,1.42,51.6,,,,,,,,,,,,,,,,,
Ben Cremaschi,us USA,MF,Inter Miami,18,2005,22,12,1140,12.7,0.31,0.08,0.39,0.31,0.0,0.0,0.24,0.0,0.3,0.3,0.09,0.38,1.65,4.72,4.09,0.39,0.38,0.38,Matches,2024,12.7,41.5,47.6,87.1,628.1,148.0,0.08,0.06,-0.01,1.02,2.91,0.71,0.0,0.31,1.42,0.55,38.9,1.42,0.55,0.22,0.57,14.4,0.0,0.0,0.0,0.21,0.02,0.02,59.4,1.57,12.6,32.4,15.1,2.44,59.4,1.18,37.5,1.89,60.0,36.1,0.39,1.89,1.42,43.4,1.5,1.18,36.0,1.26,1.1,0.87,1.26,2.76,0.94,0.0,1.73,1.73,0.0,0.08,0.0,0.31,0.32,0.0,0.71,1.18,0.08,0.24,1.26,1.18,0.0,0.0,0.0,6.22,0.63,33.3,,,,,,,,,,,,,,,,,
Matt Crooks,eng ENG,MF,Real Salt Lake,30,1994,29,23,1883,20.9,0.14,0.14,0.29,0.14,0.0,0.0,0.33,0.0,0.17,0.17,0.15,0.33,2.63,6.03,5.74,0.29,0.32,0.32,Matches,2024,20.9,35.5,42.4,83.5,557.7,150.0,0.14,0.08,-0.01,1.2,4.55,1.05,0.0,0.14,1.15,0.38,33.3,1.15,0.38,0.13,0.38,13.5,0.0,0.0,0.0,0.15,-0.03,-0.03,52.1,1.29,5.69,30.6,16.6,2.06,52.1,0.86,46.2,0.91,48.7,32.5,0.38,1.63,0.96,40.5,1.63,1.15,50.0,0.81,1.24,1.2,0.81,2.44,1.05,0.05,2.68,2.68,0.14,0.0,0.14,0.38,0.38,0.0,2.58,0.86,0.14,0.1,0.81,1.15,0.0,0.0,0.0,2.82,1.2,54.3,,,,,,,,,,,,,,,,,
Andrés Cubas,py PAR,MF,Vancouver W'caps,27,1996,24,23,1931,21.5,0.0,0.05,0.05,0.0,0.0,0.0,0.33,0.0,0.01,0.01,0.03,0.03,0.19,3.58,0.09,0.05,0.03,0.03,Matches,2024,21.5,42.9,47.8,89.7,858.6,244.7,0.05,0.02,0.02,0.05,3.91,0.14,0.0,0.0,0.28,0.05,16.7,0.28,0.05,0.0,0.0,28.0,0.0,0.0,0.0,0.03,-0.01,-0.01,57.1,2.65,15.4,39.3,2.98,0.09,57.1,0.19,30.8,0.37,61.5,33.0,0.05,0.65,0.42,36.5,3.4,1.91,50.0,1.21,1.58,1.26,1.91,5.3,1.02,0.05,0.98,0.98,0.0,0.0,0.0,0.19,0.19,0.0,1.72,0.47,0.0,0.05,1.91,1.91,0.0,0.0,0.0,6.51,0.33,58.3,,,,,,,,,,,,,,,,,
Cucho,co COL,"FW,MF",Columbus Crew,24,1999,27,23,2113,23.5,0.81,0.43,1.23,0.72,0.09,0.17,0.13,0.04,0.6,0.46,0.33,0.79,2.6,6.94,6.55,1.15,0.93,0.79,Matches,2024,23.5,26.7,40.9,65.3,514.4,167.6,0.43,0.28,0.09,2.3,3.96,2.43,0.51,0.81,5.53,1.66,30.0,5.54,1.66,0.13,0.44,19.0,0.34,0.09,0.17,0.08,0.21,0.26,56.2,0.26,3.02,23.4,30.4,5.87,56.0,2.0,50.5,1.87,47.3,34.5,1.28,3.11,2.21,46.0,1.28,0.77,55.6,0.34,0.89,0.85,0.51,1.79,0.3,0.0,5.7,5.7,0.68,0.21,0.21,0.68,0.68,0.0,1.15,1.87,0.43,2.68,0.51,0.77,0.0,0.0,0.0,3.02,1.49,55.6,,,,,,,,,,,,,,,,,
Mauricio Cuevas,us USA,"DF,FW",LA Galaxy,20,2003,18,1,330,3.7,0.27,0.27,0.54,0.27,0.0,0.0,0.27,0.0,0.11,0.11,0.27,0.38,1.62,4.05,13.5,0.55,0.38,0.38,Matches,2024,3.7,55.4,69.5,79.8,837.3,201.4,0.27,0.27,0.0,1.08,3.78,2.43,1.08,0.27,1.08,0.27,25.0,1.09,0.27,0.25,1.0,19.8,0.0,0.0,0.0,0.11,0.16,0.16,84.9,4.86,18.1,29.2,37.8,3.78,84.9,0.81,75.0,0.27,25.0,47.3,0.54,1.35,0.54,62.2,2.7,1.89,50.0,0.54,1.08,0.54,2.97,5.68,4.05,0.0,2.16,2.18,0.27,0.0,0.0,0.54,0.54,0.0,1.35,0.81,0.27,6.76,2.97,1.89,0.0,0.0,0.0,2.7,0.54,28.6,,,,,,,,,,,,,,,,,
Hugo Cuypers,be BEL,FW,Chicago Fire,26,1997,31,31,2617,29.1,0.34,0.07,0.41,0.34,0.0,0.0,0.1,0.0,0.37,0.37,0.11,0.48,1.27,1.51,4.67,0.41,0.48,0.48,Matches,2024,29.1,13.9,20.2,68.9,188.0,32.8,0.07,0.05,-0.04,1.27,0.89,0.38,0.0,0.34,2.54,1.17,45.9,2.54,1.17,0.14,0.29,12.2,0.0,0.0,0.0,0.15,-0.03,-0.03,31.8,1.17,2.65,15.0,14.4,4.54,31.8,0.65,39.6,1.0,60.4,15.8,0.79,2.44,1.07,19.9,1.27,0.86,23.5,1.34,1.34,1.2,0.34,1.62,1.0,0.0,2.58,2.58,0.21,0.03,0.1,0.17,0.17,0.0,1.24,1.07,0.38,0.55,0.34,0.86,0.0,0.0,0.0,2.3,2.23,43.9,,,,,,,,,,,,,,,,,
Rafael Czichos,de GER,DF,Chicago Fire,33,1990,28,26,2336,26.0,0.04,0.08,0.12,0.04,0.0,0.0,0.23,0.0,0.05,0.05,0.04,0.09,0.96,3.77,0.38,0.12,0.09,0.09,Matches,2024,26.0,48.9,57.5,85.1,959.9,393.9,0.08,0.03,0.04,0.42,3.46,0.12,0.04,0.04,0.46,0.12,25.0,0.46,0.12,0.08,0.33,11.6,0.0,0.0,0.0,0.11,-0.01,-0.01,67.9,7.27,32.8,32.3,3.23,0.88,67.9,0.31,66.7,0.12,25.0,40.3,0.04,0.54,0.12,46.0,2.23,1.46,66.0,0.69,1.77,1.0,1.35,3.58,3.35,0.12,1.0,1.0,0.04,0.08,0.04,0.15,0.15,0.0,1.27,0.65,0.08,0.46,1.35,1.46,0.04,0.04,0.0,4.19,1.81,60.3,,,,,,,,,,,,,,,,,
